POCP	GCF_900188225.1.faa	GCF_900155525.1.faa	GCF_013376475.1.faa	GCF_011927665.1.faa	GCF_011682075.1.faa	GCF_001563225.1.faa	GCF_000711295.1.faa	GCF_000701705.1.faa	GCF_000519125.1.faa	GCF_000482745.1.faa	GCF_000468495.1.faa	GCF_000429325.1.faa	GCF_000422545.1.faa	GCF_000420485.1.faa	GCF_000420465.1.faa	GCF_000384815.1.faa	GCF_000179555.1.faa	GCF_000023445.1.faa
GCF_900188225.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900155525.1.faa	29.489238676517825	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_013376475.1.faa	49.816581071166546	27.765099650083673	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_011927665.1.faa	49.530810134501095	30.201560468140443	47.51520545913069	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_011682075.1.faa	48.27071748270718	32.68826251577619	45.44041450777202	49.225921359090286	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001563225.1.faa	53.66778474551553	28.828420256991688	47.3070516379789	50.700280112044815	46.9208966761144	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_000711295.1.faa	48.70522561637463	28.193974544868695	49.13184226015303	52.25098039215686	47.062822953494695	51.9742614799649	100	~	~	~	~	~	~	~	~	~	~	~
GCF_000701705.1.faa	33.61322137811542	47.01831703622091	29.21019108280255	31.780858796607887	38.42768791627022	31.855043081601618	29.23570283270978	100	~	~	~	~	~	~	~	~	~	~
GCF_000519125.1.faa	52.884468247895946	30.4624185603051	49.3025283347864	64.13867822318527	51.92204301075268	54.52050837666089	55.98526703499079	33.038309114927344	100	~	~	~	~	~	~	~	~	~
GCF_000482745.1.faa	47.58577860580655	34.89272463300532	44.79964643488509	54.0757028427831	59.2975769126055	51.21522693997071	53.22329492369978	38.16211878009631	57.16041794714199	100	~	~	~	~	~	~	~	~
GCF_000468495.1.faa	47.445478114991616	27.870150435471103	50.840092699884124	46.62964676847139	45.57759313856875	46.51598042038583	48.898745793820744	29.768177028451	48.89794685990338	47.411944869831544	100	~	~	~	~	~	~	~
GCF_000429325.1.faa	46.357883398411204	25.984690327070286	52.52122459480319	43.34285325717394	46.039366298607774	43.961105424769706	44.28995680345572	28.692980382888205	45.476381104883906	42.45945945945946	47.00638637573177	100	~	~	~	~	~	~
GCF_000422545.1.faa	48.75553097345133	28.22603719599428	46.813563794695874	47.764738753841854	47.74486911638196	47.80212570528802	53.680854013586575	29.962501512035804	51.102890806959856	46.63428174878557	45.63584209807403	44.622146258088144	100	~	~	~	~	~
GCF_000420485.1.faa	54.36951920169337	28.389830508474578	49.3032610257147	53.01223241590214	48.503790397659266	61.60217049835784	54.78392721758908	30.14773172963786	58.25475228259243	52.224077728859875	47.128151573922125	44.26251155420573	49.03767958796422	100	~	~	~	~
GCF_000420465.1.faa	40.53656142646818	39.27780616590019	38.065015479876166	39.49329359165425	47.24992875463095	38.41894801599508	37.282573022645224	40.99048684946838	39.385113268608414	43.608281301347354	38.132860367623344	37.796945701357465	37.40002908244875	37.59386483463812	100	~	~	~
GCF_000384815.1.faa	42.97144650141199	33.17025440313112	39.41377771165005	49.095238095238095	51.119659293859044	46.41431317462664	44.61054287962234	36.185720070184914	46.887129327744134	60.26469198046321	41.667956057558406	39.75180690031365	43.59764639955169	45.720858895705526	42.00033228110982	100	~	~
GCF_000179555.1.faa	47.36628300609343	26.515469690606185	61.39420589756854	44.303104910408976	43.98069963811822	45.12477489066118	45.2755905511811	29.156769596199528	46.00107353730542	42.674639847784725	47.778967085897776	53.61936720997124	43.85814210332556	45.46540964015403	37.226173541963014	38.9109861473049	100	~
GCF_000023445.1.faa	48.29730111629221	28.339429407461598	43.60183189655172	50.078537769527344	43.385116512152344	54.50040182159122	47.22300935109096	30.066568047337277	47.63437849944009	50.56737588652482	41.94808819425063	42.284718765555	45.5554138502742	52.92814619964004	36.20946146980065	48.41758556494343	41.95646735051288	100
