POCP	GCF_900460345.1.faa	GCF_900444995.1.faa	GCF_900102025.1.faa	GCF_015240065.1.faa	GCF_014118685.1.faa	GCF_009696615.1.faa	GCF_003123745.1.faa	GCF_001936115.1.faa	GCF_001907295.1.faa	GCF_001907235.1.faa	GCF_001746855.1.faa	GCF_001652275.1.faa	GCF_000724605.1.faa	GCF_000420405.1.faa	GCF_000420065.1.faa	GCF_000146285.1.faa	GCF_000092365.1.faa
GCF_900460345.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900444995.1.faa	46.21691262590771	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900102025.1.faa	49.830065359477125	38.17671092951992	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_015240065.1.faa	44.29701454452666	45.03740648379053	38.726864834548515	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014118685.1.faa	52.188782489740085	42.34978780433326	43.714356558393256	42.815604555367095	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009696615.1.faa	38.639308855291574	37.830968015251	32.967032967032964	39.87645847632121	38.56965688300951	100	~	~	~	~	~	~	~	~	~	~	~
GCF_003123745.1.faa	51.358024691358025	41.641003079630444	45.97757191613847	41.658722592945665	52.11237400814927	41.18606072957	100	~	~	~	~	~	~	~	~	~	~
GCF_001936115.1.faa	43.51851851851852	41.98777571086899	36.81831877071407	44.47699970700263	36.26288659793814	36.008729388942776	36.16105343124842	100	~	~	~	~	~	~	~	~	~
GCF_001907295.1.faa	46.100042390843576	44.666250779787894	37.70904925544101	42.09464005382373	47.66544863987008	39.38104448742747	41.24124124124124	38.91263057929725	100	~	~	~	~	~	~	~	~
GCF_001907235.1.faa	45.20867335043134	46.9634703196347	37.881097560975604	44.193548387096776	42.005781632199245	37.81902552204176	40.648269820411734	41.5543219666931	45.41312901221785	100	~	~	~	~	~	~	~
GCF_001746855.1.faa	34.89144316730523	36.12081877184224	28.832116788321166	35.31181619256017	31.991268493815184	33.93634073734829	33.13454198473282	33.85156937518334	31.35802469135803	35.56880278191753	100	~	~	~	~	~	~
GCF_001652275.1.faa	49.819581428915086	41.78436911487759	45.89905362776025	40.225756798358134	46.597938144329895	34.47602516814927	52.32295895354082	36.784442618460695	38.961038961038966	41.58856607310216	35.567539804827945	100	~	~	~	~	~
GCF_000724605.1.faa	50.62176165803108	38.496583143507976	63.01682349586542	39.79450152735352	43.28908554572271	32.62987012987013	47.304810248972686	37.567084078711986	37.77272727272727	38.050868798791235	30.525437864887405	47.64261526439177	100	~	~	~	~
GCF_000420405.1.faa	45.63627498781083	45.26591938945862	39.503867698052815	52.64116575591985	42.80742459396752	41.39218269653052	43.11486640785567	44.43826473859844	44.592847910383455	42.724899121765965	37.09299296691847	40.33325165400637	41.67547568710359	100	~	~	~
GCF_000420065.1.faa	45.67219152854512	43.448098663926004	39.414153132250576	54.68661773009599	41.43177849837865	42.370091699976484	41.31927415399706	43.7329286798179	42.662980879981575	40.74642126789366	34.22837761447145	39.12698412698413	40.654608096468564	55.43624161073826	100	~	~
GCF_000146285.1.faa	41.408235892221654	41.018633540372676	36.07930745601787	42.5578231292517	37.711250603573156	37.254901960784316	36.19092852054144	38.12718786464411	39.897183728207416	38.78862793572311	30.56387905202942	34.883720930232556	35.14933628318584	45.20476931052359	50.40764689344953	100	~
GCF_000092365.1.faa	63.38492768332911	43.179563492063494	48.21627647714604	41.200434546442146	45.96288262231863	37.78738902799909	47.72403982930299	42.6783114992722	43.472439187681324	40.94274432379072	32.2457857531267	45.68877551020408	47.33646149599779	44.86416558861578	43.06958473625141	39.89721395726264	100
