POCP	GCF_015905305.1.faa	GCF_004363655.1.faa	GCF_003967035.1.faa	GCF_003148905.1.faa	GCF_002077135.1.faa	GCF_001887595.1.faa	GCF_001632775.1.faa	GCF_001010355.1.faa	GCF_000953855.2.faa	GCF_000761445.1.faa	GCF_000378125.1.faa	GCF_000242255.2.faa
GCF_015905305.1.faa	100	~	~	~	~	~	~	~	~	~	~	~
GCF_004363655.1.faa	39.683371776053676	100	~	~	~	~	~	~	~	~	~	~
GCF_003967035.1.faa	56.81818181818182	39.25925925925926	100	~	~	~	~	~	~	~	~	~
GCF_003148905.1.faa	64.2221280203476	42.80172891499501	69.16567947199188	100	~	~	~	~	~	~	~	~
GCF_002077135.1.faa	44.36883766143591	37.564228708866295	51.6492623901873	51.28626981752916	100	~	~	~	~	~	~	~
GCF_001887595.1.faa	67.12278106508876	39.43129846888049	54.36347926267281	61.247860997762274	42.779432715969435	100	~	~	~	~	~	~
GCF_001632775.1.faa	46.73544183521108	50.660367228605175	49.7660913050492	52.408056042031525	44.42373853211009	45.467224546722456	100	~	~	~	~	~
GCF_001010355.1.faa	59.178228388473855	36.634187672103366	53.39759797724399	61.16602205987681	42.15341308937368	57.79690618762475	43.6803740888461	100	~	~	~	~
GCF_000953855.2.faa	53.46986886695152	44.3261193175312	60.188645666488696	61.639030612244895	54.862414008755465	50.44477897906118	52.52971654983237	51.20310865341503	100	~	~	~
GCF_000761445.1.faa	57.545776727702304	41.68387244780913	60.099928622412556	64.59964839379894	53.17348377997179	53.7986834887548	50.95463571101268	53.624925104853205	58.7229763700352	100	~	~
GCF_000378125.1.faa	49.2260475046704	46.50423728813559	49.35188112551375	53.20246453646654	45.670843305645505	46.244072872473176	52.854587976337875	47.49932414165991	54.148602182688	51.902906802517236	100	~
GCF_000242255.2.faa	49.355670103092784	34.33370660694289	54.6939477303989	55.72731488638121	42.4692856059457	49.17377398720683	42.97973072939784	46.35598141695703	47.82327237417058	50.421804023361446	43.13099041533546	100
